ID,Type,Scenario,Sentence,Options,Correct,PHD_Feedback
1,Shyol (➡️),Shopping,"Женя: Лен, я вчера видел тебя. Я {{1}} в ателье, а ты замерла напротив Prada.",шёл / ходил,шёл,Vettore ➡️: Zhenya aveva una direzione precisa (l'atelier). 'Завис' = blocco/freeze alla vetrina.
2,Khodil (↔️),Shopping,"Женя: У тебя был такой вид, будто ты там {{2}} целый час и смотрела на ценники.",ходила / шла,ходила,Stasi/Circolarità ↔️: Non vai da nessuna parte. 'Медитировать на ценник' = fissare il prezzo.
3,Shyol (➡️),Shopping,"Лена: Ой, Женя, не преувеличивай. Я просто {{3}} мимо и увидела надпись «Sale».",шла / ходила,шла,Vettore ➡️: Stava passando. 'Sale' = saldi.
4,Khodil (↔️),Shopping,"Лена: Хотя признаю: до этого я весь день {{4}} по бутикам, но ничего не купила. Трагедия.",ходила / шла,ходила,Vagabondaggio ↔️: Girare senza meta fissa. 'Трагедия' = tragedia (ironia).
5,Khodil (↔️),Shopping,"Анна: Трагедия — это когда скидка только на порошок. Я вчера тоже {{5}} за подарком, но всё зря.",ходила / шла,ходила,Fatto compiuto ↔️: Andata e tornata (il risultato è scarso).
6,Khodil (↔️),Shopping,"Анна: Ты же помнишь, Женя, раньше я {{6}} только на закрытые распродажи для своих.",ходила / шла,ходила,Abitudine ↔️: 'Frequentavo'. 'Закрытые распродажи' = vendite private.
7,Shyol (➡️),Shopping,"Женя: Я вчера специально {{7}} от парковки так медленно, чтобы не испортить новые туфли.",шёл / ходил,шёл,Processo-perfomance ➡️: Ogni passo è un dramma estetico.
8,Shyol (➡️),Shopping,"Анна: Женя, хватит позёрства. Пока мы {{8}} вместе мимо той витрины, ты только и делал, что критиковал всех.",шли / ходили,шли,Vettore di coppia ➡️: Movimento lineare a due.
9,Khodil (↔️),Shopping,"Лена: Слушайте, а вы помните, как мы втроём постоянно {{9}} в «Меркурий» по пятницам?",ходили / шли,ходили,Storia comune ↔️: 'Frequentavamo'.
10,Shyol (➡️),Shopping,"Женя: Вчера я ждал свой эспрессо и смотрел, как озабоченные люди {{10}} к выходу. Сплошной хаос.",шли / ходили,шли,Flusso ➡️: Persone che si muovono verso l'uscita.
11,Shyol (➡️),Gastronomia,"Анна: Ну и погода. Пока я {{11}} от мясника, ливень просто уничтожил мой зонт.",шла / ходила,шла,Vettore verso casa ➡️: Stava tornando dal macellaio.
12,Khodil (↔️),Gastronomia,"Анна: Я {{12}} к нему десять лет, но сегодня упаковка размокла.",ходила / шла,ходила,Abitudine decennale ↔️: 'Frequentavo'.
13,Shyol (➡️),Gastronomia,"Катя: Баранина? Ужасно. Я как раз {{13}} из магазина здорового питания.",шла / ходила,шла,Vettore lineare ➡️: Camminava verso casa.
14,Khodil (↔️),Gastronomia,"Катя: Я {{14}} туда специально за Омега-3 и диким лососем.",ходила / шла,ходила,Fatto compiuto ↔️: È andata ed è tornata.
15,Khodil (↔️),Gastronomia,"Андрей: Девочки, завязывайте. Я сегодня вообще никуда не {{15}}, сижу в тепле.",ходил / шёл,ходил,Assenza di fatto ↔️: Non è proprio uscito.
16,Shyol (➡️),Gastronomia,"Дима: Врёшь. Я видел, как ты в одних носках {{16}} к курьеру за пиццей.",шёл / ходил,шёл,Micro-vettore ➡️: Tragitto breve verso la porta.
17,Shyol (➡️),Gastronomia,"Дима: Ровно в ту минуту, когда я сам {{17}} к лифту.",шёл / ходил,шёл,Vettore simultaneo ➡️: Lui andava verso l'ascensore.
18,Khodil (↔️),Gastronomia,"Дима: Кстати, я целый час {{18}} по супермаркету и в итоге всё равно забыл купить еду для Глюка!",ходил / шёл,ходил,Vagabondaggio ↔️: Cercare tra gli scaffali.
19,Khodil (↔️),Gastronomia,"Анна: Опять? Мы же три дня назад специально все вместе {{19}} в «Зоомир»!",ходили / шли,ходили,Visita di gruppo ↔️: Siete stati al negozio.
20,Shyol (➡️),Gastronomia,"Андрей: Да я на балконе его вчера оставил. Пока {{20}} дождь, корм стоял там, весь намок и разбух.",шёл / ходил,шёл,Processo atmosferico ➡️: 'Pioveva'.
21,Khodil (↔️),Regalo,"Катя: {{21}} по магазинам и искать подарок в воскресенье — это была гениальная идея!",ходить / идти,ходить,Abitudine/Concetto ↔️: 'Frequentare negozi'.
22,Khodil (↔️),Regalo,"Тимур: Это был позор. Мы три часа {{22}} по торговому центру!",ходили / шли,ходили,Vagabondaggio prolungato ↔️: Senza una direzione A→B.
23,Shyol (➡️),Regalo,"Дима: Конечно, нет. Андрей, как только видел цену, сразу {{23}} к выходу.",шёл / ходил,шёл,Vettore repentino ➡️: Puntava dritto all'uscita.
24,Khodil (↔️),Regalo,"Андрей: Неправда! Я {{24}} за подарками и на Новый год, и на 8 марта, но не было таких цен.",ходил / шёл,ходил,Fatto nel passato/Esperienza ↔️: Sono stato a fare regali.
25,Khodil (↔️),Regalo,"Дима: Когда во вторник мы {{25}} смотреть приставку для тебя, ты на цены не жаловлся.",ходили / шли,ходили,Visita specifica ↔️: Quando siamo andati a vedere la console.
26,Shyol (➡️),Regalo,"Андрей: Слушай, пока мы {{26}} домой, я подумал: может, мы просто цветы купим?",шли / ходили,шли,Processo nel tragitto ➡️: Mentre tornavamo a casa.
27,Shyol (➡️),Regalo,"Тимур: Ну всё, понеслась! А всё так бодро {{27}} к тому, чтобы ты, Катя, купила подарок сама.",шло / ходило,шло,Metafora del processo ➡️: Tutto 'andava bene' (procedeva).
28,Shyol (➡️),Regalo,"Катя: Либо оставить Аню без подарка, либо {{28}} завтра за ним самой.",идти / ходить,идти,Vettore futuro ➡️: Devo andare (linearmente) a prenderlo domani.
29,Shyol (➡️),Regalo,"Дима: Время {{29}}, а Глюк голодный. Пойду покормлю его.",шло / ходило,шло,Metafora del tempo ➡️: 'Il tempo passava'.
30,Khodil (↔️),Regalo,"Андрей: Хорошо, мы {{30}} и искали подарок, но не нашли ничего подходящего.",ходили / шли,ходили,Azione inconcludente ↔️: Abbiamo cercato (andando e tornando) ma invano.
31,Khodil (↔️),Conjugation,"Я (Катя) вчера долго {{31}} по галерее, искала вдохновение.",ходила / шла,ходила,Girare per il museo ↔️.
32,Shyol (➡️),Conjugation,"Андрей, ты {{32}} слишком быстро, я не успевала за твоими носками.",шёл / ходил,шёл,Velocità lineare ➡️.
33,Khodil (↔️),Conjugation,"Анна и Лена {{33}} на распродажу вместе, но поссорились в очереди.",ходили / шли,ходили,Sono state (ed entrambe tornate) ↔️.
34,Shyol (➡️),Conjugation,"Время {{34}}, а подарок для Анны так и не появлялся на горизонте.",шло / ходило,шло,Metafora neutra ➡️.
35,Shyol (➡️),Conjugation,"Куда вы {{35}}, когда небо внезапно потемнело?",шли / ходили,шли,Plurale nel momento ➡️.
36,Khodil (↔️),Conjugation,"— Где ты был, Дима? — Я {{36}} в супермаркет за кормом.",ходил / шёл,ходил,Maschile, fatto compiuto ↔️.
37,Shyol (➡️),Conjugation,"Машина стояла в пробке, а люди медленно {{37}} мимо неё.",шли / ходили,шли,Plurale, movimento lineare ➡️ мимо.
38,Shyol (➡️),Conjugation,"Даша {{38}} из своего бюро с чертежами и очень устала.",шла / ходила,шла,Femminile, vettore da un luogo ➡️.
39,Shyol (➡️),Conjugation,"— Лена, ты {{39}} в этот бутик? — Нет, я просто {{40}} мимо и смотрела.",ходила / шла,шла,Femminile, passare lineare ➡️.
40,Khodil (↔️),Conjugation,"Мы вчера весь вечер {{40}} по центру города, обсуждая приставку.",ходили / шли,ходили,Plurale, passeggiata libera ↔️.
