ID,Персонаж,Стрелка,Задание,Варианты,Ответ
1,Тимур,↔️,"Тимур очень организованный: он ________ и в университет, и на работу.",ходит / идет,ходит
2,Андрей,↔️,"Андрей не доверяет онлайн-платежам, поэтому ________ снимать деньги в банкомат.",ходит / идет,ходит
3,Generic,↔️,Вы давно ________ в этот рыбный ресторан?,ходите / идете,ходите
4,Лена,↔️,"Лена ________ на танцы, потому что ей очень нравится танцевать.",ходит / идет,ходит
5,Андрей,↔️,"Андрей ________ в банк пару раз в неделю, потому что приложениям не доверяет.",ходит / идет,ходит
6,Тимур,↔️,"У Тимура гипс на ноге, он теперь плохо ________, ну или совсем не ________.",ходит / идет,ходит
7,Катя и Анна,↔️,"Мы с Катей ________ по рынку, ищем свежую рыбу.",ходим / идем,ходим
8,Катя,↔️,"Катя — настоящий сноб, она ________ только на закрытые показы артхауса.",ходит / идет,ходит
9,Анна,↔️,"Анна — консерватор, она уже пять лет ________ на этот рынок к одному мяснику.",ходит / идет,ходит
10,Лена,↔️,"Лена ________ по магазинам часами, когда ей грустно.",ходит / идет,ходит
11,Generic,↔️,Вы часто ________ на выставки современного искусства?,ходите / идете,ходите
12,Generic,↔️,Студенты ________ в университет пять дней в неделю.,ходят / идут,ходят
13,Лена,↔️,"Лена призналась: «Я ________ по магазинам, когда мне скучно».",хожу / иду,хожу
14,Женя,↔️,"Женя купил дорогие часы, теперь идет в ремонт, потому что часы не ________.",ходят / идут,ходят
15,Generic,↔️,Я с этой сессией ...… ________ в библиотеку чаще чем в парикмахерскую.,хожу / иду,хожу
16,Андрей,➡️,Андрей опять забыл документы и опять ________ в офис.,идет / ходит,идет
17,Generic,➡️,"— Вы куда так рано? — На лекцию ________, к первой паре.",идем / ходим,идем
18,Generic,➡️,"Я ничего не слышу, ________ по шумной улице.",иду / хожу,иду
19,Generic,➡️,По утрам перед работой все ________ пить кофе.,идут / ходят,идут
20,Generic,➡️,"— Куда ты сейчас ________? — ________ в сторону дома, я устала.",идешь / иду,идешь / иду
21,Generic,➡️,Думай быстрее - время ________!,идет / ходит,идет
22,Тимур,➡️,Тимур ________ в больницу снимать гипс.,идет / ходит,идет
23,Лена,➡️,Лена видит витрину Prada и уже ________ в сторону входа.,идет / ходит,идет
24,Катя,➡️,Катя сегодня ________ в Дом Кино на редкий фильм Феллини.,идет / ходит,идет
25,Катя,➡️,Мы ________ на рынок за рыбой для Кати.,идем / ходим,идем
26,Лена,➡️,"Лена, ты слишком быстро ________! Я не успеваю за тобой!",идешь / ходишь,идешь
27,Generic,➡️,Смотри! На улице ________ снег! Это так красиво!,идет / ходит,идет
28,Андрей,➡️,"Андрей, поторопись! Время ________, а банк скоро закроется.",идет / ходит,идет
29,Лена,➡️,Посмотри на Лену! Эти новые туфли ей очень ________.,идут / ходят,идут
30,Generic,➡️,В этом кинотеатре сейчас ________ отличная ретроспектива фильмов Антониони.,идет / ходит,идет
31,Андрей,↔️,"Я (Андрей) никогда не пользуюсь телефоном, я всегда ________ в банк сам.",хожу / иду,хожу
32,Лена,➡️,"— Лена, куда ты ________? Ты же хотела спать!",идешь / ходишь,идешь
33,Тимур,↔️,"Тимур — отличный юрист. Он ________ в библиотеку чаще, чем в кафе.",ходит / идет,ходит
34,Катя/Анна,➡️,Катя и Анна сейчас ________ в рыбный ресторан.,идут / ходят,идут
35,Generic,↔️,Мы с друзьями каждую субботу ________ в парк гулять.,ходим / идем,ходим
36,Generic,↔️,"— Вы часто ________ на выставки современного искусства? — Нет, никогда.",ходите / идете,ходите
37,Generic,➡️,"Студенты ________ на лекцию, они очень серьезные.",идут / ходят,идут
38,Катя vibe,➡️,Я ________ домой и слушаю психоделическую музыку.,иду / хожу,иду
39,Лена,➡️,"Лена, ты слишком быстро ________! Я не успеваю за тобой!",идешь / ходишь,идешь
40,Катя,↔️,"Катя — сноб, она ________ только в закрытый киноклуб.",ходит / идет,ходит
41,Generic,➡️,Мы сейчас ________ мимо твоего дома. Выходи!,идем / ходим,идем
42,Katya/Anna,➡️,— Почему вы не ________ в кино с нами? — Мы не любим блокбастеры.,идете / ходите,идете
43,And/Tim,↔️,Андрей и Тимур ________ в спортзал вместе по понедельникам.,ходят / идут,ходят
44,Generic,➡️,Смотри! На улице ________ снег! Это так красиво!,идет / ходит,идет
45,Лена,↔️,"Лена призналась: «Я ________ по магазинам, когда мне скучно».",хожу / иду,хожу
46,Тимур,➡️,"— Тимур, ты завтра ________ в университет? — Да, в девять утра.",идешь / ходишь,идешь
47,Generic,➡️,"Эти часы ________ неверно, мы опоздаем на встречу!",идут / ходят,идут
48,Generic,➡️,Мы с Катей ________ на рынок за фермерским маслом.,идем / ходим,идем
49,Katya,↔️,"Вы ________ в этот бассейн уже три года, верно?",ходите / идете,ходите
50,Анна,➡️,"Анна ________ по улице и танцует, ей очень весело.",идет / ходит,идет
51,Катя,↔️,Катя перфекционист. Она часами может ________ по рынку в поисках свежих продуктов.,ходит / идет,ходить
52,Андрей,↔️,"Андрей ________ делать дубликат ключей чаще чем на работу, он ключи теряет миниум раз в месяц.",ходит / идет,ходит
53,Generic,↔️,"Мы предпочитаем кино, особенно нам артхаус ________.",ходите / идете,нравится
54,Даша,↔️,"Даша — молодая мама, она ________ с коляской в парке по три часа в день.",ходит / идет,ходит
55,Тимур,↔️,Тимур теперь ________ на физиотерапию дважды в неделю.,ходит / идет,ходит
56,Generic,↔️,"— Вы ________ в тот закрытый киноклуб? — Да, Катя нас туда пригласила.",ходите / идете,ходите
57,Generic,↔️,Мы уже час ________ по улицам.,ходим / идем,ходим
