ID,Персонаж,Стрелка,Задание,Варианты,Ответ
1,Generic,↔️,"Он летом всегда ________ на велике, а зимой на автобусе.",ездит / едет,ездит
2,Тимур,↔️,"Тимур — фанат технологий, он ________ на работу только на электросамокате.",ездит / едет,ездит
3,Даша,↔️,Даша никогда не ________ с ребенком на автобусе. Слишком сложно с коляской.,ездит / едет,ездит
4,Катя,↔️,"Катя ненавидит общественный транспорт, она всегда ________ на такси.",ездит / едет,ездит
5,Анна,↔️,Анна любит ________ на велосипеде вокруг озера.,ездить / ехать,ездить
6,Generic,↔️,Студенты ________ на стажировку в Рим каждое лето.,ездят / едут,ездят
7,Андрей,↔️,"Андрей часто ________ в банк, но постоянно забывает квитанцию.",ездит / едет,ездит
8,Generic,↔️,Вы часто ________ за город на выходные к друзьям?,ездите / едете,ездите
9,Женя,↔️,"Женя никогда не ________ на старых трамваях, стиль важнее.",ездит / едет,ездит
10,Generic,↔️,Мы часто ________ на рынок за фермерским сыром для Кати.,ездим / едем,ездим
11,Generic,↔️,Как часто вы ________ на море в этом году?,ездите / едете,ездите
12,Тимур,↔️,Тимур ________ на физиотерапию три раза в неделю.,ездит / едет,ездит
13,Лена,↔️,Лена ________ в торговый центр только на своей машине.,ездит / едет,ездит
14,Generic,↔️,Студенты обычно ________ в университет на метро.,ездят / едут,ездят
15,Generic,↔️,Вы ________ в этот киноклуб в центре каждую пятницу?,ездите / едете,ездите
16,Андрей,➡️,"Андрей взял машину Тимура, ________ с работы сначала в банк потом в магазин потом домой.",едет / ездит,едет
17,Generic,➡️,"— Я ________ в торговый центр. — На машине? — Нет, машина сломалась, ________ на метро.",еду,еду
18,Женя,➡️,"Женя сегодня ________ на встречу, он очень элегантен в своем новом авто.",едет / ездит,едет
19,Тимур,➡️,"Посмотри! Тимур ________ на новом мотоцикле, ему это идет.",едет / ездит,едет
20,Катя/Generic,➡️,Мы ________ с Катей за город на показ какого-то модного фильма.,едем / ездим,едем
21,Generic,➡️,"Я сейчас ________ в аэропорт, встретимся через две недели!",еду / езжу,еду
22,Тимур и Женя,➡️,Тимур и Женя ________ на конференцию в Питер.,едут / ездят,едут
23,Generic,➡️,— Вы куда? — Мы ________ на вокзал встречать Анну.,едем / ездим,едем
24,Generic,➡️,Смотри! Почтовое авто ________ прямо к дому Андрея.,едет / ездит,едет
25,Generic,➡️,Мы ________ на рынок за рыбой для праздничного ужина.,едем / ездим,едем
26,Generic,➡️,— Ты ________ со мной на такси или ждешь автобус?,едешь / ездишь,едешь
27,Анна,➡️,Анна ________ по улице на велосипеде и везет в корзинке цветы.,едет / ездит,едет
28,Generic,➡️,"Посмотри, как быстро ________ этот красный автомобиль!",едет / ездит,едет
29,Generic,➡️,"Ребята, мы уже ________! Будем у вас через десять минут.",едем / ездим,едем
30,Андрей,➡️,"Андрей ________ в банк и надеется, что он еще открыт.",едет / ездит,едет
31,Generic,↔️,Я часто ________ в Рим на поезде.,езжу / еду,езжу
32,Generic,↔️,Ты часто ________ на велосипеде?,ездишь / едешь,ездишь
33,Лена,↔️,Лена ________ на работу на метро.,ездит / едет,ездит
34,Тимур,↔️,Тимур ________ в библиотеку на самокате.,ездит / едет,ездит
35,Generic,↔️,Мы ________ в отпуск каждое лето.,ездим / едем,ездим
36,Generic,↔️,Вы ________ на такси или на автобусе?,ездите / едете,ездите
37,Generic,↔️,Студенты ________ на лекции на трамвае.,ездят / едут,ездят
38,A/D,↔️,Андрей и Дима часто ________ за город.,ездят / едут,ездят
39,Generic,↔️,Мои друзья ________ на скоростных машинах.,ездят / едут,ездят
40,Generic,↔️,Почему ты никогда не ________ на трамвае?,ездишь / едешь,ездишь
41,Generic,➡️,Я сейчас ________ в банк.,еду / езжу,еду
42,Generic,➡️,Куда ты ________ так поздно?,едешь / ездишь,едешь
43,Тимур,➡️,Тимур ________ на презентацию своего проекта.,едет / ездит,едет
44,Лена,➡️,Лена ________ в Prada на новой машине.,едет / ездит,едет
45,Generic,➡️,Мы ________ в аэропорт на такси.,едем / ездим,едем
46,Generic,➡️,Вы ________ с нами в Питер?,едете / ездите,едете
47,Generic,➡️,Студенты ________ на вокзал.,едут / ездят,едут
48,A/D,➡️,Андрей и Дима сейчас ________ в центр.,едут / ездят,едут
49,Generic,➡️,Машина быстро ________ по шоссе.,едет / ездит,едет
50,Generic,➡️,Куда вы ________ в это воскресенье?,едете / ездите,едете
51,Тимур и Дима,↔️,Тимур и Дима часто ________ в парке по субботам.,бегают / бегут,бегают
52,Лена,↔️,"Лена ненавидит ________, она предпочитает йогу.",бегать / бежать,бегать
53,Андрей,↔️,"Андрей всегда ________ по утрам, чтобы проснуться.",бегает / бежит,бегает
54,Дедушка,↔️,"Дедушка ________ каждое утро, а бабушка предпочитает спокойные прогулки.",бегает / бежит,бегает
55,Дима и Андрей,↔️,Дима и Андрей часто ________ вместе по утрам.,бегают / бегут,бегают
56,Женя,↔️,"Женя никогда не ________ за автобусами, он выше этого.",бегает / бежит,бегает
57,Generic,↔️,Дети целый день ________ по двору и шумят.,бегают / бегут,бегают
58,Generic,↔️,Вы любите ________ в парке или в спортзале на дорожке?,бегать / бежать,бегать
59,Generic,↔️,Мы ________ на стадионе три раза в неделю.,бегаем / бежим,бегаем
60,Катя,↔️,Катя ________ по магазинам в поисках идеального платья.,бегает / бежит,бегает
61,Лена,↔️,"Лена никогда не ________ по вечерам, это опасно для макияжа.",бегает / бежит,бегает
62,Андрей,↔️,Андрей ________ по квартире и в панике ищет ключи.,бегает / бежит,бегает
63,Generic,↔️,— Как часто ты ________? — Я ________ по вторникам и четвергам.,бегаешь / бегаю,бегаешь / бегаю
64,Generic,↔️,Студенты ________ в столовую на перерыве.,бегают / бегут,бегают
65,Анна,↔️,"Анна часто ________ по рынку, потому что она делает все в последнюю минуту.",бегает / бежит,бегает
66,Андрей,➡️,"Андрей опаздывает! Видишь, он ________ к остановке автобуса.",бежит / бегает,бежит
67,Generic,➡️,"Посмотри, как быстро ________ тот высокий парень к финишу!",бежит / бегает,бежит
68,Анна,➡️,"Анна ________ домой, потому что начался сильный дождь.",бежит / бегает,бежит
69,Тимур,➡️,"— Где Тимур? — Он ________ сюда, я его уже вижу!",бежит / бегает,бежит
70,Лена,➡️,"Лена ________ к витрине Prada, там новая коллекция!",бежит / бегает,бежит
71,Amazon,➡️,Посмотри! Под дождем ________ курьер Амазон.,бежит / бегает,бежит
72,Generic,➡️,— Куда ты так ________? — Я опаздываю на встречу с Женей!,бежишь / бегаешь,бежишь
73,Generic,➡️,"Мы ________ на вокзал, поезд уходит через пять минут.",бежим / бегаем,бежим
74,Андрей,➡️,Андрей увидел закрытый банк и теперь ________ к другому отделению.,бежит / бегает,бежит
75,Тимур,➡️,"Тимур ________ за такси, в котором он забыл свой проект.",бежит / бегает,бежит
76,Катя,➡️,"Катя ________ по коридору, стуча каблуками.",бежит / бегает,бежит
77,Даша и Анна,➡️,"Даша застряла в лифте, и Анна ________ вызывать слесарей.",бежит / бегает,бежит
78,Дочь Даши,➡️,Маленькая дочь ________ навстречу Даше.,бежит / бегает,бежит
79,Generic,➡️,"Ребята, ________ быстрее, скоро начнется лекция!",бегите / бегайте,бегите
80,Generic,➡️,"Я ________ к тебе, буду через мгновение.",бегу / бегаю,бегу
81,Generic,↔️,Я ________ каждый день по пять километров.,бегаю / бегу,бегаю
82,Generic,↔️,Ты часто ________ по утрам?,бегаешь / бежишь,бегаешь
83,Лена,↔️,"Лена никогда не ________, она этого не понимает.",бегает / бежит,бегает
84,Тимур,↔️,Тимур ________ в парке по субботам.,бегает / бежит,бегает
85,Generic,↔️,Мы всегда ________ вместе в лесу.,бегаем / бежим,бегаем
86,Generic,↔️,Вы часто ________ на стадионе?,бегаете / бежите,бегаете
87,Generic,↔️,Студенты ________ за кофе на перемене.,бегают / бегут,бегают
88,A/D,↔️,Андрей и Дима часто ________ марафоны.,бегают / бегут,бегают
89,Generic,↔️,Они ________ быстрее всех в нашей группе.,бегают / бегут,бегают
90,Generic,↔️,Почему ты всегда ________ так медленно?,бегаешь / бежишь,бегаешь
91,Generic,➡️,"Я ________ домой, там потоп!",бегу / бегаю,бегу
92,Generic,➡️,Куда ты ________ так быстро?,бежишь / бегаешь,бежишь
93,Тимур,➡️,Тимур ________ за автобусом.,бежит / бегает,бежит
94,Лена,➡️,Лена ________ к выходу из офиса.,бежит / бегает,бежит
95,Generic,➡️,"Мы ________ на платформу, поезд уходит.",бежим / бегаем,бежим
96,Generic,➡️,Вы почему ________? Случилось что-то?,бежите / бегаете,бежите
